feature_or_signal,decision,destination,reason,multivariate_note,caveat_reopen_condition
IPR drift plus residual,promote,Understanding / strategy candidates,Trend process is extremely stable by day; residual feature is online-computable from timestamp and current mids.,"Keep as product-specific fair-value basis, not as global price constant.",Reopen if platform run shows final-day drift materially differs.
ACO short-horizon delta reversal,promote,Understanding / strategy candidates,Negative delta autocorrelation and controlled models support reversal framing.,Use with spread/depth controls; avoid stacking with redundant residual variants.,Reopen if fills/markouts show adverse selection dominates.
top imbalance,promote,Understanding / strategy candidates,Strong IC and direct online availability; often simpler than full-book variants.,Highly related to microprice; choose one primary edge feature first.,Reopen if controlled model shows microprice dominates robustly.
microprice deviation,exploratory,Understanding research memory,A compact transformation of top-of-book imbalance and spread that may encode pressure plus distance.,Likely redundant with top imbalance; promote only if controlled lift is clear.,Promote if validation beats top imbalance alone.
full-book imbalance,exploratory/promote as backup,Understanding / backup strategy evidence,Useful IC but redundancy checks suggest it can conflict with or duplicate simpler top imbalance.,"Use as backup or defensive context, not automatically alongside top imbalance.",Promote if it outperforms top imbalance under wide/one-sided regimes.
spread regime,promote as execution/risk filter candidate,Understanding / spec validation checks,Spread materially changes execution economics and appears in controlled models/regime checks.,"Role should be filter/sizing/risk, not primary directional signal.",Reject if platform PnL improves without spread gating.
liquidity/depth regime,exploratory,Understanding research memory,"Depth and missing levels affect quote quality, but clustering is mostly descriptive.",Use defensively first; avoid adding multiple depth features.,Promote only if run diagnostics show depth predicts fills/markouts.
cross-product lead-lag,negative evidence,Negative Evidence,Lead-lag correlations are weak relative to direct within-product signals.,Do not build first strategy around cross-product prediction.,Reopen only if platform logs show product coupling not present in sample.
trade pressure proxy,needs logs,Future platform diagnostics,CSV trade alignment is sparse and platform printed state probe is missing.,"Useful as diagnostic hypothesis, not first spec feature.",Reopen after collecting market_trades from TradingState logs.
PCA/cluster latent components,EDA-only calibration,Research memory only,Helpful for redundancy/regime framing but not online bot logic.,"Use to simplify feature set and validation, not as direct model input.",Only implement if spec defines a simple online proxy.
